iter	Passed	Remaining
0	10	10077
1	20	10185
2	31	10419
3	40	10123
4	51	10149
5	59	9836
6	67	9631
7	77	9588
8	86	9574
9	97	9613
10	105	9502
11	114	9418
12	122	9320
13	135	9534
14	146	9596
15	156	9598
16	162	9386
17	172	9391
18	182	9410
19	194	9525
20	205	9602
21	215	9598
22	224	9551
23	235	9561
24	243	9493
25	253	9498
26	263	9497
27	272	9472
28	281	9422
29	290	9395
30	300	9389
31	308	9325
32	316	9265
33	326	9276
34	334	9223
35	342	9173
36	350	9115
37	359	9111
38	369	9116
39	379	9096
40	387	9062
41	395	9026
42	403	8977
43	411	8932
44	420	8916
45	429	8903
46	439	8912
47	448	8904
48	456	8864
49	463	8814
50	470	8752
51	476	8695
52	484	8653
53	492	8622
54	498	8569
55	507	8551
56	516	8537
57	526	8548
58	534	8532
59	544	8528
60	552	8500
61	561	8499
62	571	8502
63	581	8502
64	590	8501
65	597	8454
66	605	8431
67	612	8389
68	620	8373
69	629	8362
70	639	8369
71	649	8375
72	658	8361
73	669	8371
74	679	8376
75	686	8351
76	696	8344
77	705	8343
78	714	8334
79	724	8332
80	735	8346
81	746	8353
82	759	8390
83	773	8434
84	784	8448
85	793	8433
86	801	8415
87	809	8384
88	817	8367
89	826	8358
90	837	8369
91	847	8367
92	856	8356
93	866	8352
94	875	8344
95	885	8338
96	895	8336
97	904	8325
98	914	8324
99	926	8339
100	937	8346
101	946	8334
102	954	8316
103	965	8314
104	977	8328
105	986	8317
106	995	8306
107	1007	8318
108	1017	8314
109	1027	8315
110	1037	8305
111	1047	8302
112	1053	8271
113	1061	8252
114	1069	8232
115	1078	8219
116	1088	8213
117	1096	8195
118	1105	8185
119	1114	8174
120	1125	8173
121	1135	8169
122	1143	8151
123	1154	8159
124	1163	8145
125	1173	8141
126	1182	8128
127	1193	8128
128	1204	8132
129	1215	8132
130	1225	8131
131	1236	8127
132	1245	8121
133	1254	8108
134	1263	8098
135	1275	8101
136	1286	8103
137	1299	8119
138	1308	8106
139	1320	8113
140	1331	8109
141	1340	8102
142	1350	8094
143	1360	8085
144	1369	8078
145	1380	8077
146	1391	8075
147	1402	8073
148	1412	8068
149	1422	8058
150	1434	8064
151	1443	8050
152	1451	8034
153	1461	8029
154	1470	8015
155	1482	8020
156	1492	8012
157	1502	8005
