iter	Passed	Remaining
0	9	9196
1	21	10793
2	33	11049
3	43	10742
4	55	11088
5	65	10898
6	75	10721
7	86	10785
8	98	10849
9	109	10884
10	121	10954
11	134	11047
12	146	11128
13	157	11094
14	169	11128
15	177	10940
16	188	10894
17	196	10713
18	204	10568
19	214	10518
20	224	10467
21	233	10368
22	243	10360
23	252	10273
24	263	10268
25	275	10329
26	283	10199
27	295	10250
28	306	10264
29	318	10313
30	337	10546
31	351	10634
32	364	10688
33	376	10682
34	386	10647
35	396	10608
36	406	10587
37	417	10563
38	428	10551
39	438	10524
40	446	10443
41	457	10440
42	466	10374
43	475	10332
44	486	10334
45	496	10302
46	507	10295
47	519	10307
48	530	10291
49	542	10300
50	553	10306
51	567	10350
52	577	10318
53	588	10311
54	599	10306
55	610	10299
56	621	10274
57	632	10272
58	641	10223
59	648	10165
60	656	10103
61	664	10050
62	672	10002
63	680	9956
64	689	9912
65	696	9861
66	705	9821
67	713	9774
68	720	9725
69	728	9683
70	740	9690
71	750	9668
72	759	9646
73	770	9642
74	779	9619
75	788	9584
76	799	9585
77	810	9577
78	819	9556
79	832	9570
80	842	9559
81	852	9540
82	863	9536
83	873	9522
84	882	9500
85	894	9501
86	904	9489
87	913	9464
88	925	9468
89	934	9444
90	946	9452
91	959	9474
92	973	9497
93	986	9512
94	1000	9529
95	1012	9534
96	1022	9519
97	1031	9495
98	1040	9468
99	1050	9456
100	1062	9454
101	1072	9443
102	1082	9425
103	1093	9420
104	1104	9415
105	1113	9392
106	1124	9385
107	1136	9385
108	1146	9369
109	1156	9355
110	1165	9337
111	1176	9325
112	1185	9306
113	1194	9283
114	1204	9269
115	1215	9261
116	1225	9248
117	1237	9248
118	1247	9234
119	1258	9232
120	1272	9241
121	1283	9236
122	1295	9235
123	1308	9241
124	1320	9243
125	1333	9247
126	1346	9252
127	1357	9249
128	1368	9241
129	1379	9233
130	1390	9227
131	1401	9214
132	1411	9202
133	1421	9188
134	1432	9179
135	1444	9175
136	1455	9166
137	1467	9163
138	1479	9163
139	1492	9165
140	1504	9168
141	1515	9158
142	1528	9157
143	1540	9157
144	1550	9144
145	1561	9131
146	1570	9113
147	1581	9104
148	1594	9104
149	1604	9094
150	1617	9093
151	1627	9082
152	1637	9065
153	1648	9057
154	1659	9045
155	1669	9031
156	1681	9028
157	1691	9014
158	1703	9008
159	1714	9002
160	1726	8995
161	1739	9000
162	1751	8995
163	1764	8994
164	1774	8978
165	1785	8971
166	1796	8961
167	1807	8951
168	1820	8949
169	1829	8930
170	1840	8922
171	1853	8923
172	1865	8919
173	1878	8917
174	1891	8917
175	1902	8908
176	1914	8901
177	1926	8897
178	1937	8887
179	1949	8879
180	1961	8877
181	1975	8877
182	1988	8878
183	1999	8865
